timestamp,global_step,negotiation_id,sender_vehicle_id,recipient_vehicle_id,role,mechanism_step,agent_offer_number,taskA_id,taskA_ready_time,taskA_due_date,taskA_weight,taskB_id,taskB_ready_time,taskB_due_date,taskB_weight
2026-01-05T10:35:38.379960,1,0,0,3,A,0,1,37,0,1106,20,,,,
2026-01-05T10:35:38.380038,1,0,3,0,B,0,1,37,0,1106,20,45,0,1123,10
2026-01-05T10:35:38.380219,1,0,0,3,A,1,2,37,0,1106,20,,,,
2026-01-05T10:35:38.380280,1,0,3,0,B,1,2,37,0,1106,20,94,0,1105,10
2026-01-05T10:35:38.380444,1,0,0,3,A,2,3,37,0,1106,20,,,,
2026-01-05T10:35:38.380500,1,0,3,0,B,2,3,37,0,1106,20,41,0,1127,10
2026-01-05T10:35:38.380660,1,0,0,3,A,3,4,37,0,1106,20,,,,
2026-01-05T10:35:38.380708,1,0,3,0,B,3,4,37,0,1106,20,54,0,1105,40
2026-01-05T10:35:38.380881,1,0,0,3,A,4,5,37,0,1106,20,,,,
2026-01-05T10:35:38.380929,1,0,3,0,B,4,5,37,0,1106,20,48,0,1122,10
2026-01-05T10:35:38.381090,1,0,0,3,A,5,6,37,0,1106,20,,,,
2026-01-05T10:35:38.381141,1,0,3,0,B,5,6,37,0,1106,20,100,647,726,20
2026-01-05T10:35:38.381297,1,0,0,3,A,6,7,37,0,1106,20,,,,
2026-01-05T10:35:38.381344,1,0,3,0,B,6,7,37,0,1106,20,,,,
2026-01-05T10:35:38.381491,1,0,0,3,A,7,8,37,0,1106,20,,,,
2026-01-05T10:35:38.381540,1,0,3,0,B,7,8,37,0,1106,20,,,,
2026-01-05T10:35:38.381680,1,0,0,3,A,8,9,37,0,1106,20,,,,
2026-01-05T10:35:38.381734,1,0,3,0,B,8,9,37,0,1106,20,,,,
2026-01-05T10:35:38.381884,1,0,0,3,A,9,10,37,0,1106,20,,,,
2026-01-05T10:35:38.381931,1,0,3,0,B,9,10,37,0,1106,20,,,,
2026-01-05T10:35:38.382769,1,1,0,8,A,0,1,37,0,1106,20,,,,
2026-01-05T10:35:38.382825,1,1,8,0,B,0,1,37,0,1106,20,64,0,1124,10
2026-01-05T10:35:38.382988,1,1,0,8,A,1,2,37,0,1106,20,,,,
2026-01-05T10:35:38.383039,1,1,8,0,B,1,2,37,0,1106,20,87,85,144,20
2026-01-05T10:35:38.383198,1,1,0,8,A,2,3,37,0,1106,20,,,,
2026-01-05T10:35:38.383244,1,1,8,0,B,2,3,37,0,1106,20,31,0,1112,20
2026-01-05T10:35:38.383398,1,1,0,8,A,3,4,37,0,1106,20,,,,
2026-01-05T10:35:38.383444,1,1,8,0,B,3,4,37,0,1106,20,6,0,1127,20
2026-01-05T10:35:38.383601,1,1,0,8,A,4,5,37,0,1106,20,,,,
2026-01-05T10:35:38.383646,1,1,8,0,B,4,5,37,0,1106,20,56,0,1101,30
