timestamp,global_step,negotiation_id,sender_vehicle_id,recipient_vehicle_id,role,mechanism_step,agent_offer_number,taskA_id,taskA_ready_time,taskA_due_date,taskA_weight,taskB_id,taskB_ready_time,taskB_due_date,taskB_weight
2026-01-16T13:47:43.740606,1,0,0,1,A,0,1,5,0,3284,10,,,,
2026-01-16T13:47:43.740717,1,0,1,0,B,0,1,5,0,3284,10,22,22,182,20
2026-01-16T13:47:43.740920,1,0,0,1,A,1,2,5,0,3284,10,,,,
2026-01-16T13:47:43.740979,1,0,1,0,B,1,2,5,0,3284,10,27,209,369,10
2026-01-16T13:47:43.741164,1,0,0,1,A,2,3,5,0,3284,10,,,,
2026-01-16T13:47:43.741218,1,0,1,0,B,2,3,5,0,3284,10,30,303,463,10
2026-01-16T13:47:43.741396,1,0,0,1,A,3,4,5,0,3284,10,,,,
2026-01-16T13:47:43.741450,1,0,1,0,B,3,4,5,0,3284,10,100,502,662,20
2026-01-16T13:47:43.741621,1,0,0,1,A,4,5,5,0,3284,10,,,,
2026-01-16T13:47:43.741672,1,0,1,0,B,4,5,5,0,3284,10,97,597,757,30
2026-01-16T13:47:43.741847,1,0,0,1,A,5,6,5,0,3284,10,,,,
2026-01-16T13:47:43.741905,1,0,1,0,B,5,6,5,0,3284,10,94,0,3259,10
2026-01-16T13:47:43.742081,1,0,0,1,A,6,7,5,0,3284,10,,,,
2026-01-16T13:47:43.742133,1,0,1,0,B,6,7,5,0,3284,10,68,776,936,10
2026-01-16T13:47:43.742305,1,0,0,1,A,7,8,5,0,3284,10,,,,
2026-01-16T13:47:43.742357,1,0,1,0,B,7,8,5,0,3284,10,65,871,1031,10
2026-01-16T13:47:43.742527,1,0,0,1,A,8,9,5,0,3284,10,,,,
2026-01-16T13:47:43.742579,1,0,1,0,B,8,9,5,0,3284,10,49,967,1127,10
2026-01-16T13:47:43.742744,1,0,0,1,A,9,10,5,0,3284,10,,,,
2026-01-16T13:47:43.742795,1,0,1,0,B,9,10,5,0,3284,10,75,0,3284,20
2026-01-16T13:47:43.744422,1,1,0,5,A,0,1,5,0,3284,10,,,,
2026-01-16T13:47:43.777185,1,2,0,2,A,0,1,5,0,3284,10,,,,
2026-01-16T13:47:43.788143,1,3,0,3,A,0,1,5,0,3284,10,,,,
2026-01-16T13:47:43.804197,1,4,0,7,A,0,1,5,0,3284,10,,,,
2026-01-16T13:47:43.843778,1,4,7,0,B,0,1,5,0,3284,10,10,2791,2951,10
2026-01-16T13:47:43.844001,1,4,0,7,A,1,2,5,0,3284,10,,,,
2026-01-16T13:47:43.844063,1,4,7,0,B,1,2,5,0,3284,10,11,2698,2858,10
2026-01-16T13:47:43.844244,1,4,0,7,A,2,3,5,0,3284,10,,,,
2026-01-16T13:47:43.844297,1,4,7,0,B,2,3,5,0,3284,10,43,2573,2733,10
2026-01-16T13:47:43.844472,1,4,0,7,A,3,4,5,0,3284,10,,,,
2026-01-16T13:47:43.844523,1,4,7,0,B,3,4,5,0,3284,10,44,1913,2073,10
2026-01-16T13:47:43.844700,1,4,0,7,A,4,5,5,0,3284,10,,,,
2026-01-16T13:47:43.844750,1,4,7,0,B,4,5,5,0,3284,10,57,1725,1885,40
2026-01-16T13:47:43.844926,1,4,0,7,A,5,6,5,0,3284,10,,,,
2026-01-16T13:47:43.844979,1,4,7,0,B,5,6,5,0,3284,10,86,1736,1896,10
2026-01-16T13:47:43.845151,1,4,0,7,A,6,7,5,0,3284,10,,,,
2026-01-16T13:47:43.845201,1,4,7,0,B,6,7,5,0,3284,10,55,1065,1225,10
2026-01-16T13:47:43.845369,1,4,0,7,A,7,8,5,0,3284,10,,,,
2026-01-16T13:47:43.845418,1,4,7,0,B,7,8,5,0,3284,10,33,685,845,40
2026-01-16T13:47:43.845587,1,4,0,7,A,8,9,5,0,3284,10,,,,
2026-01-16T13:47:43.845637,1,4,7,0,B,8,9,5,0,3284,10,64,493,653,10
2026-01-16T13:47:43.845804,1,4,0,7,A,9,10,5,0,3284,10,,,,
2026-01-16T13:47:43.845854,1,4,7,0,B,9,10,5,0,3284,10,,,,
2026-01-16T13:47:43.846773,1,5,0,4,A,0,1,5,0,3284,10,,,,
2026-01-16T13:47:43.867804,1,5,4,0,B,0,1,5,0,3284,10,1,0,3272,10
2026-01-16T13:47:43.868030,1,5,0,4,A,1,2,5,0,3284,10,,,,
2026-01-16T13:47:43.868093,1,5,4,0,B,1,2,5,0,3284,10,4,1261,1421,10
2026-01-16T13:47:43.868270,1,5,0,4,A,2,3,5,0,3284,10,,,,
2026-01-16T13:47:43.868322,1,5,4,0,B,2,3,5,0,3284,10,34,0,3267,20
2026-01-16T13:47:43.868494,1,5,0,4,A,3,4,5,0,3284,10,,,,
2026-01-16T13:47:43.868546,1,5,4,0,B,3,4,5,0,3284,10,92,694,854,20
2026-01-16T13:47:43.868715,1,5,0,4,A,4,5,5,0,3284,10,,,,
2026-01-16T13:47:43.868765,1,5,4,0,B,4,5,5,0,3284,10,,,,
2026-01-16T13:47:43.868925,1,5,0,4,A,5,6,5,0,3284,10,,,,
2026-01-16T13:47:43.868978,1,5,4,0,B,5,6,5,0,3284,10,,,,
2026-01-16T13:47:43.869136,1,5,0,4,A,6,7,5,0,3284,10,,,,
2026-01-16T13:47:43.869247,1,5,4,0,B,6,7,5,0,3284,10,,,,
2026-01-16T13:47:43.869406,1,5,0,4,A,7,8,5,0,3284,10,,,,
2026-01-16T13:47:43.869455,1,5,4,0,B,7,8,5,0,3284,10,,,,
2026-01-16T13:47:43.869606,1,5,0,4,A,8,9,5,0,3284,10,,,,
2026-01-16T13:47:43.869656,1,5,4,0,B,8,9,5,0,3284,10,,,,
2026-01-16T13:47:43.869809,1,5,0,4,A,9,10,5,0,3284,10,,,,
2026-01-16T13:47:43.869857,1,5,4,0,B,9,10,5,0,3284,10,,,,
2026-01-16T13:47:43.877794,1,6,0,8,A,0,1,24,116,276,10,,,,
2026-01-16T13:47:43.890689,1,7,0,1,A,0,1,24,116,276,10,,,,
2026-01-16T13:47:43.890768,1,7,1,0,B,0,1,24,116,276,10,22,22,182,20
2026-01-16T13:47:43.890959,1,7,0,1,A,1,2,24,116,276,10,,,,
2026-01-16T13:47:43.891016,1,7,1,0,B,1,2,24,116,276,10,27,209,369,10
2026-01-16T13:47:43.891189,1,7,0,1,A,2,3,24,116,276,10,,,,
2026-01-16T13:47:43.891241,1,7,1,0,B,2,3,24,116,276,10,30,303,463,10
2026-01-16T13:47:43.891415,1,7,0,1,A,3,4,24,116,276,10,,,,
2026-01-16T13:47:43.891467,1,7,1,0,B,3,4,24,116,276,10,100,502,662,20
2026-01-16T13:47:43.891635,1,7,0,1,A,4,5,24,116,276,10,,,,
2026-01-16T13:47:43.891686,1,7,1,0,B,4,5,24,116,276,10,97,597,757,30
2026-01-16T13:47:43.891860,1,7,0,1,A,5,6,24,116,276,10,,,,
2026-01-16T13:47:43.891918,1,7,1,0,B,5,6,24,116,276,10,94,0,3259,10
2026-01-16T13:47:43.892093,1,7,0,1,A,6,7,24,116,276,10,,,,
2026-01-16T13:47:43.892146,1,7,1,0,B,6,7,24,116,276,10,68,776,936,10
2026-01-16T13:47:43.892315,1,7,0,1,A,7,8,24,116,276,10,,,,
2026-01-16T13:47:43.892366,1,7,1,0,B,7,8,24,116,276,10,65,871,1031,10
2026-01-16T13:47:43.892537,1,7,0,1,A,8,9,24,116,276,10,,,,
2026-01-16T13:47:43.892589,1,7,1,0,B,8,9,24,116,276,10,49,967,1127,10
2026-01-16T13:47:43.892757,1,7,0,1,A,9,10,24,116,276,10,,,,
2026-01-16T13:47:43.892813,1,7,1,0,B,9,10,24,116,276,10,75,0,3284,20
2026-01-16T13:47:43.894416,1,8,0,5,A,0,1,24,116,276,10,,,,
2026-01-16T13:47:43.918643,1,9,0,2,A,0,1,24,116,276,10,,,,
2026-01-16T13:47:43.927072,1,10,0,3,A,0,1,24,116,276,10,,,,
2026-01-16T13:47:43.952881,1,10,3,0,B,0,1,24,116,276,10,85,0,3253,30
2026-01-16T13:47:43.953098,1,10,0,3,A,1,2,24,116,276,10,,,,
2026-01-16T13:47:43.953156,1,10,3,0,B,1,2,24,116,276,10,98,0,3269,20
2026-01-16T13:47:43.953334,1,10,0,3,A,2,3,24,116,276,10,,,,
2026-01-16T13:47:43.953387,1,10,3,0,B,2,3,24,116,276,10,31,0,3266,20
2026-01-16T13:47:43.953561,1,10,0,3,A,3,4,24,116,276,10,,,,
2026-01-16T13:47:43.953611,1,10,3,0,B,3,4,24,116,276,10,32,593,753,30
2026-01-16T13:47:43.953780,1,10,0,3,A,4,5,24,116,276,10,,,,
2026-01-16T13:47:43.953829,1,10,3,0,B,4,5,24,116,276,10,66,588,748,10
2026-01-16T13:47:43.954003,1,10,0,3,A,5,6,24,116,276,10,,,,
2026-01-16T13:47:43.954057,1,10,3,0,B,5,6,24,116,276,10,63,25,185,50
2026-01-16T13:47:43.954225,1,10,0,3,A,6,7,24,116,276,10,,,,
2026-01-16T13:47:43.954274,1,10,3,0,B,6,7,24,116,276,10,67,12,172,10
2026-01-16T13:47:43.954442,1,10,0,3,A,7,8,24,116,276,10,,,,
2026-01-16T13:47:43.954491,1,10,3,0,B,7,8,24,116,276,10,,,,
2026-01-16T13:47:43.954649,1,10,0,3,A,8,9,24,116,276,10,,,,
2026-01-16T13:47:43.954698,1,10,3,0,B,8,9,24,116,276,10,,,,
2026-01-16T13:47:43.954852,1,10,0,3,A,9,10,24,116,276,10,,,,
2026-01-16T13:47:43.954907,1,10,3,0,B,9,10,24,116,276,10,,,,
2026-01-16T13:47:43.956395,1,11,0,7,A,0,1,24,116,276,10,,,,
2026-01-16T13:47:43.981169,1,12,0,1,A,0,1,2,0,3279,30,,,,
2026-01-16T13:47:43.981244,1,12,1,0,B,0,1,2,0,3279,30,22,22,182,20
2026-01-16T13:47:43.981432,1,12,0,1,A,1,2,2,0,3279,30,,,,
2026-01-16T13:47:43.981487,1,12,1,0,B,1,2,2,0,3279,30,27,209,369,10
2026-01-16T13:47:43.981664,1,12,0,1,A,2,3,2,0,3279,30,,,,
2026-01-16T13:47:43.981717,1,12,1,0,B,2,3,2,0,3279,30,30,303,463,10
2026-01-16T13:47:43.981897,1,12,0,1,A,3,4,2,0,3279,30,,,,
2026-01-16T13:47:43.981953,1,12,1,0,B,3,4,2,0,3279,30,100,502,662,20
2026-01-16T13:47:43.982129,1,12,0,1,A,4,5,2,0,3279,30,,,,
2026-01-16T13:47:43.982181,1,12,1,0,B,4,5,2,0,3279,30,97,597,757,30
2026-01-16T13:47:43.982353,1,12,0,1,A,5,6,2,0,3279,30,,,,
2026-01-16T13:47:43.982406,1,12,1,0,B,5,6,2,0,3279,30,94,0,3259,10
2026-01-16T13:47:43.982579,1,12,0,1,A,6,7,2,0,3279,30,,,,
2026-01-16T13:47:43.982631,1,12,1,0,B,6,7,2,0,3279,30,68,776,936,10
2026-01-16T13:47:43.982802,1,12,0,1,A,7,8,2,0,3279,30,,,,
2026-01-16T13:47:43.982852,1,12,1,0,B,7,8,2,0,3279,30,65,871,1031,10
2026-01-16T13:47:43.983029,1,12,0,1,A,8,9,2,0,3279,30,,,,
2026-01-16T13:47:43.983085,1,12,1,0,B,8,9,2,0,3279,30,49,967,1127,10
2026-01-16T13:47:43.983257,1,12,0,1,A,9,10,2,0,3279,30,,,,
2026-01-16T13:47:43.983309,1,12,1,0,B,9,10,2,0,3279,30,75,0,3284,20
2026-01-16T13:47:43.984909,1,13,0,5,A,0,1,2,0,3279,30,,,,
2026-01-16T13:47:44.009059,1,14,0,2,A,0,1,2,0,3279,30,,,,
2026-01-16T13:47:44.019642,1,15,0,3,A,0,1,2,0,3279,30,,,,
2026-01-16T13:47:44.035156,1,16,0,7,A,0,1,2,0,3279,30,,,,
2026-01-16T13:47:44.074483,1,16,7,0,B,0,1,2,0,3279,30,10,2791,2951,10
2026-01-16T13:47:44.074696,1,16,0,7,A,1,2,2,0,3279,30,,,,
2026-01-16T13:47:44.074755,1,16,7,0,B,1,2,2,0,3279,30,11,2698,2858,10
2026-01-16T13:47:44.074943,1,16,0,7,A,2,3,2,0,3279,30,,,,
2026-01-16T13:47:44.075000,1,16,7,0,B,2,3,2,0,3279,30,43,2573,2733,10
2026-01-16T13:47:44.075173,1,16,0,7,A,3,4,2,0,3279,30,,,,
2026-01-16T13:47:44.075226,1,16,7,0,B,3,4,2,0,3279,30,44,1913,2073,10
2026-01-16T13:47:44.075398,1,16,0,7,A,4,5,2,0,3279,30,,,,
2026-01-16T13:47:44.075449,1,16,7,0,B,4,5,2,0,3279,30,57,1725,1885,40
2026-01-16T13:47:44.075622,1,16,0,7,A,5,6,2,0,3279,30,,,,
2026-01-16T13:47:44.075672,1,16,7,0,B,5,6,2,0,3279,30,86,1736,1896,10
2026-01-16T13:47:44.075843,1,16,0,7,A,6,7,2,0,3279,30,,,,
2026-01-16T13:47:44.075898,1,16,7,0,B,6,7,2,0,3279,30,55,1065,1225,10
2026-01-16T13:47:44.076070,1,16,0,7,A,7,8,2,0,3279,30,,,,
2026-01-16T13:47:44.076119,1,16,7,0,B,7,8,2,0,3279,30,33,685,845,40
2026-01-16T13:47:44.076288,1,16,0,7,A,8,9,2,0,3279,30,,,,
2026-01-16T13:47:44.076338,1,16,7,0,B,8,9,2,0,3279,30,64,493,653,10
2026-01-16T13:47:44.076506,1,16,0,7,A,9,10,2,0,3279,30,,,,
2026-01-16T13:47:44.076555,1,16,7,0,B,9,10,2,0,3279,30,,,,
2026-01-16T13:47:44.077481,1,17,0,4,A,0,1,2,0,3279,30,,,,
2026-01-16T13:47:44.098474,1,17,4,0,B,0,1,2,0,3279,30,1,0,3272,10
2026-01-16T13:47:44.098687,1,17,0,4,A,1,2,2,0,3279,30,,,,
2026-01-16T13:47:44.098745,1,17,4,0,B,1,2,2,0,3279,30,4,1261,1421,10
2026-01-16T13:47:44.098935,1,17,0,4,A,2,3,2,0,3279,30,,,,
2026-01-16T13:47:44.098992,1,17,4,0,B,2,3,2,0,3279,30,34,0,3267,20
2026-01-16T13:47:44.099167,1,17,0,4,A,3,4,2,0,3279,30,,,,
2026-01-16T13:47:44.099218,1,17,4,0,B,3,4,2,0,3279,30,92,694,854,20
2026-01-16T13:47:44.099392,1,17,0,4,A,4,5,2,0,3279,30,,,,
2026-01-16T13:47:44.099444,1,17,4,0,B,4,5,2,0,3279,30,,,,
