id	slack_time	departure_time	return_time
0	0	32	124
1	26	33	170
2	64	33	82
3	0	106	102
4	53	13	193
5	32	113	205
6	0	88	130
7	38	11	223
8	46	34	169
9	0	32	98
10	15	67	173
11	0	38	120
12	29	33	121
13	48	6	56
14	0	38	88
15	70	1	182
16	16	58	119
17	49	13	186
18	13	46	172
19	13	46	183
20	46	3	105
21	23	25	108
22	54	42	84
23	0	41	145
24	52	55	145
25	19	32	149
26	43	23	88
27	65	60	120
28	0	2	120
29	0	67	141
30	0	75	131
31	0	71	143
32	59	37	111
33	0	34	146
34	13	124	225
35	50	44	204
36	0	138	212
37	0	168	228
