id	A	B	C	D	E	F	G
0	A1	B2					
1			B2	B2			
2			B1	B1	B1	B1	A1
3	B2	C3	C3	B2			
4			A2	A2	A2	A3	
5		B2	C1	B1	A1	A1	
6			B2	B1	B1	B1	
7			B1	B1	B1	A2	A3
8			B2	C3	C3	C2	
9				B2	B2		
10			B2	B2	B2	B2	
11	A1	A2	A2	B1	B1	B1	A2
12		B2	A1	A1	A1	B2	B2
13	B1	B1	B1	A2	A3	B2	C2
14		B2	C1	C1	C2	C2	B3
15			B2	C3	C3	C3	B1
16	B2	B1	A2	A2	A1	A2	A2
18	A2	A1	B2	B3	B2		
19		B2	C2				
20	B2	B1	B1	C1	C1	B2	C1
21	B2	C3	C2	C2	C2	B3	C3
22	B2	A1	A1	C2	C2	A1	A1
23		A1	A1	A1	C2	C2	C2
24	B2	A2	B2				
25		B2	B2	B2	B3	B3	B2
26		B2	A1	A1	A1	A1	A2
27			B2	B1	B1	B1	B1
28	B2	A3	A3	B2	B2	A3	A3
29		B2	B3	B3	B2	A1	
30			B2	B1	B1		
