timestamp,global_step,negotiation_id,sender_vehicle_id,recipient_vehicle_id,role,mechanism_step,agent_offer_number,taskA_id,taskA_ready_time,taskA_due_date,taskA_weight,taskB_id,taskB_ready_time,taskB_due_date,taskB_weight
2026-01-12T04:32:19.243101,1,0,0,2,A,0,1,97,523,763,12,,,,
2026-01-12T04:32:19.288349,1,1,0,3,A,0,1,97,523,763,12,,,,
2026-01-12T04:32:19.288438,1,1,3,0,B,0,1,97,523,763,12,28,65,305,16
2026-01-12T04:32:19.330104,1,2,0,4,A,0,1,97,523,763,12,,,,
2026-01-12T04:32:19.330187,1,2,4,0,B,0,1,97,523,763,12,69,108,348,6
2026-01-12T04:32:19.369278,1,3,0,5,A,0,1,97,523,763,12,,,,
2026-01-12T04:32:19.400660,1,4,0,5,A,0,1,10,485,725,16,,,,
2026-01-12T04:32:19.432055,1,5,0,1,A,0,1,10,485,725,16,,,,
2026-01-12T04:32:19.489618,1,6,0,1,A,0,1,84,354,594,7,,,,
2026-01-12T04:32:19.603236,1,6,1,0,B,0,1,84,354,594,7,35,630,870,8
2026-01-12T04:32:19.639298,1,7,0,2,A,0,1,84,354,594,7,,,,
2026-01-12T04:32:19.679255,1,8,0,3,A,0,1,84,354,594,7,,,,
2026-01-12T04:32:19.679337,1,8,3,0,B,0,1,84,354,594,7,28,65,305,16
2026-01-12T04:32:19.716225,1,9,0,4,A,0,1,84,354,594,7,,,,
2026-01-12T04:32:19.716306,1,9,4,0,B,0,1,84,354,594,7,69,108,348,6
2026-01-12T04:32:19.752324,1,10,0,5,A,0,1,84,354,594,7,,,,
2026-01-12T04:32:19.809306,1,10,5,0,B,0,1,84,354,594,7,25,716,956,6
2026-01-12T04:32:19.846148,1,11,0,1,A,0,1,22,332,572,18,,,,
2026-01-12T04:32:19.959691,1,11,1,0,B,0,1,22,332,572,18,35,630,870,8
2026-01-12T04:32:19.995692,1,12,0,2,A,0,1,22,332,572,18,,,,
2026-01-12T04:32:20.035153,1,13,0,3,A,0,1,22,332,572,18,,,,
2026-01-12T04:32:20.035236,1,13,3,0,B,0,1,22,332,572,18,28,65,305,16
2026-01-12T04:32:20.072078,1,14,0,4,A,0,1,22,332,572,18,,,,
2026-01-12T04:32:20.072160,1,14,4,0,B,0,1,22,332,572,18,69,108,348,6
2026-01-12T04:32:20.107985,1,15,0,5,A,0,1,22,332,572,18,,,,
2026-01-12T04:32:20.138819,1,16,0,3,A,0,1,21,0,971,11,,,,
2026-01-12T04:32:20.138901,1,16,3,0,B,0,1,21,0,971,11,28,65,305,16
2026-01-12T04:32:20.173955,1,16,0,3,A,1,2,21,0,971,11,,,,
2026-01-12T04:32:20.174038,1,16,3,0,B,1,2,21,0,971,11,27,60,300,16
2026-01-12T04:32:20.174247,1,16,0,3,A,2,3,21,0,971,11,,,,
2026-01-12T04:32:20.174309,1,16,3,0,B,2,3,21,0,971,11,11,146,386,12
2026-01-12T04:32:20.174500,1,16,0,3,A,3,4,21,0,971,11,,,,
2026-01-12T04:32:20.174558,1,16,3,0,B,3,4,21,0,971,11,19,204,444,17
2026-01-12T04:32:20.174753,1,16,0,3,A,4,5,21,0,971,11,,,,
2026-01-12T04:32:20.174814,1,16,3,0,B,4,5,21,0,971,11,16,203,443,19
2026-01-12T04:32:20.175006,1,16,0,3,A,5,6,21,0,971,11,,,,
2026-01-12T04:32:20.175064,1,16,3,0,B,5,6,21,0,971,11,40,279,519,9
2026-01-12T04:32:20.175247,1,16,0,3,A,6,7,21,0,971,11,,,,
2026-01-12T04:32:20.175303,1,16,3,0,B,6,7,21,0,971,11,9,329,569,16
2026-01-12T04:32:20.175487,1,16,0,3,A,7,8,21,0,971,11,,,,
2026-01-12T04:32:20.175544,1,16,3,0,B,7,8,21,0,971,11,79,307,547,23
2026-01-12T04:32:20.175735,1,16,0,3,A,8,9,21,0,971,11,,,,
2026-01-12T04:32:20.175796,1,16,3,0,B,8,9,21,0,971,11,67,228,468,25
2026-01-12T04:32:20.175978,1,16,0,3,A,9,10,21,0,971,11,,,,
2026-01-12T04:32:20.176038,1,16,3,0,B,9,10,21,0,971,11,56,519,759,6
2026-01-12T04:32:20.177979,1,17,0,4,A,0,1,21,0,971,11,,,,
2026-01-12T04:32:20.178056,1,17,4,0,B,0,1,21,0,971,11,69,108,348,6
2026-01-12T04:32:20.213067,1,17,0,4,A,1,2,21,0,971,11,,,,
2026-01-12T04:32:20.213150,1,17,4,0,B,1,2,21,0,971,11,12,0,975,19
2026-01-12T04:32:20.213357,1,17,0,4,A,2,3,21,0,971,11,,,,
2026-01-12T04:32:20.213418,1,17,4,0,B,2,3,21,0,971,11,73,234,474,9
2026-01-12T04:32:20.213610,1,17,0,4,A,3,4,21,0,971,11,,,,
2026-01-12T04:32:20.213668,1,17,4,0,B,3,4,21,0,971,11,15,118,358,8
2026-01-12T04:32:20.213862,1,17,0,4,A,4,5,21,0,971,11,,,,
2026-01-12T04:32:20.213922,1,17,4,0,B,4,5,21,0,971,11,38,234,474,16
2026-01-12T04:32:20.214107,1,17,0,4,A,5,6,21,0,971,11,,,,
2026-01-12T04:32:20.214163,1,17,4,0,B,5,6,21,0,971,11,91,0,964,1
2026-01-12T04:32:20.214346,1,17,0,4,A,6,7,21,0,971,11,,,,
2026-01-12T04:32:20.214401,1,17,4,0,B,6,7,21,0,971,11,37,0,968,8
2026-01-12T04:32:20.214597,1,17,0,4,A,7,8,21,0,971,11,,,,
2026-01-12T04:32:20.214654,1,17,4,0,B,7,8,21,0,971,11,87,314,554,26
2026-01-12T04:32:20.214843,1,17,0,4,A,8,9,21,0,971,11,,,,
2026-01-12T04:32:20.214902,1,17,4,0,B,8,9,21,0,971,11,94,0,977,27
