id	A	B	C	D	E	F	G
1			B2	B1	B1	B1	B1
2	B1	B1	A2	A2	B2		
3	B1	B1	B1	A1	B1	B1	B2
5	B2	C2	C2	C2	B2		
6		B2	A2	A2	A2	A2	A3
7	C1	C1	B1	A1	B1	B2	B2
8			B2	B2			
9		B2	A2	A2	B2	B2	B3
10		B1	B1	B1	C1	C1	
12		B2	B1	B1	B1	A1	A2
13	B2	A3	B3	C3	C2	C2	
14	C2	C2	C2	C2	B1	B2	B2
15	B1	B2	B3	B3	A2	A1	A2
16	B2	B1	B1	B1	A2	A2	A1
17	B2	A3	A2	A2	B2	C1	C1
18		B2	C2	C2	C1	C1	B1
19	B1	B1	B1	B1	B2	B2	
20	B	B2	B3				
21	B2	B2	B3	A2	A1	A1	B2
22	B2	B3	B3	C2	C3	B2	B2
23	C1	C1	B2				
24		B1	B1	B1	B1	B1	B1
25		B2	B1	C1	C1		
26					B2	C2	
27	B2	A2	A2	A2	B2		
28						B2	C1
