id	slack_time	departure_time	return_time
0	1541	0	512
1	1058	-66	804
2	1040	-24	804
3	604	-13	259
4	1017	0	494
5	14	-33	136
6	746	-58	708
7	598	-52	299
8	1776	15	804
9	1285	0	666
10	683	0	212
11	597	-74	264
12	2016	-50	489
13	1515	-92	621
14	1799	0	618
15	657	-47	524
16	1419	-54	553
17	366	-122	507
18	1725	-11	545
19	7	-57	188
20	1152	0	276
21	1877	0	804
22	605	-68	454
23	1168	-76	405
24	1053	15	487
25	1827	-35	614
26	1202	0	651
27	1535	-80	659
28	1051	-80	460
29	1169	-42	733
30	1425	0	669
31	1386	-87	704
32	825	-74	804
33	52	-33	216
34	707	0	262
35	1078	0	594
36	1326	-17	651
37	2024	0	763
38	1246	0	733
39	1092	-37	631
40	602	-74	234
41	1071	0	649
42	953	-26	459
43	632	-45	403
44	991	0	804
45	1113	-89	501
46	568	-79	510
47	1058	-21	678
48	318	-93	575
49	1074	0	472
50	1498	-60	675
51	1488	-96	432
52	1173	-85	763
53	2265	-65	752
54	534	-45	450
55	491	-86	500
56	603	0	561
57	1011	0	653
58	27	-55	336
59	1464	-94	622
60	857	21	607
61	466	0	483
62	995	-97	457
63	96	2	420
64	107	-102	486
65	373	0	678
66	538	-134	689
67	142	126	511
68	644	-84	645
69	192	-103	603
