id	A	B	C	D	E	F	G
0	B2	B1	A1	A1			
1	A2	A1	A3	A3	B2		
2	B2	B1	B1	A1	A1	A1	
3	B2	C3	B2	A2	B1	B2	
4		B2	B2				
5	B2	A3	A2	B2	C2	C2	B2
6	B2	A2	B2	B2	B2	A3	A3
7	B	A2	A2	A1	B1	B1	
8		B2	B2	C2	C2	C2	
9		B2	B2	B2	B2	C2	B2
10	B1	B1	C1	B1	A1	A1	A1
11	B1	C1	C1	B1	A1	B2	
12		B2	C2	C2	B1	B2	
13	B2	C2	B1	B1	B1	B1	B2
14		B2	B2	B2	C2	A3	
15	B2	A1	A2	A2	A2	B2	C2
16	A1	B1	C1	C2	C2	B2	
17		B2	A1	A1	A1		
18	A1	B1	C2	C3	C3	B2	
19		B2	A2	A2	A2	A2	
20		A2	A2	B2	B3		
21	A1	A1	B1	B2			
22		B2	A1	A1	A1	B2	B3
23	B2	C3	C2	C2	B1	B1	
24		B2	B2	C3	B2	B2	B1
25		B1	B1	B1	A1	A2	B2
26			B2	B3			
27		A2	A3	A3	B3	C3	B2
28			B2	C1	C1	C1	B2
29		B2	B3	B3	B3	B3	B2
30			B2	B1	B1		
31			A2	A2	A2		
