route_index,requested_tasks,planned_route,total_reward,raw_total_reward,total_distance,total_lateness,unassigned_tasks
1,2 4 21 41 56 73,2 73 4 21 41 56,-7.910263,-47.461579,38.401754,0.000000,3
2,5 37 61 83 85 93,93 5 37 61 83 85,-6.170602,-37.023611,20.248457,0.000000,5
3,13 14 38 43 44,13 14 38 43 44,-5.192461,-25.962306,11.180340,0.000000,4
4,3 24 27 54 69 76 79 80,27 80 3 24 54 69 76 79,-5.098985,-40.791883,26.213203,0.000000,6
5,12 26 28 40 53,53 26 12 28 40,-4.696191,-23.480954,12.534394,0.000000,3
6,1 9 30 51 66,1 9 30 51 66,-5.961678,-29.808392,15.231546,0.000000,4
7,7 10 31 88,88 10 7 31,-9.190423,-36.761690,28.179656,0.000000,2
8,29 33 34 35 77 78,77 29 33 34 35 78,-5.937991,-35.627944,19.697716,0.000000,5
9,8 17 19 36 46 47,17 8 19 36 46 47,-7.178739,-43.072431,30.413813,0.000000,5
10,23 25 39 55 67,55 25 23 39 67,-9.372356,-46.861779,34.068644,0.000000,3
11,18 45 60 82 84 89,89 18 45 60 82 84,-4.283333,-25.700000,9.000000,0.000000,5
12,6 52,6 52,-9.981153,-19.962306,11.180340,0.000000,1
13,59 94 96 99,94 96 59 99,-6.734359,-26.937435,16.041595,0.000000,2
14,11 20 32 62 70 90,70 11 20 32 62 90,-6.197587,-37.185521,21.095023,0.000000,5
15,48 49 63 64,48 49 63 64,-10.380647,-41.522590,27.802878,0.000000,3
16,50 65 68 71 81,50 65 68 71 81,-5.534701,-27.673506,16.970563,0.000000,4
17,22 58 72 74 75,58 22 72 74 75,-5.629969,-28.149847,9.055385,0.000000,4
18,15 42 57 87 92 97,97 15 42 57 87 92,-4.797364,-28.784185,17.204651,0.000000,5
19,16 86 91 95 98 100,95 100 16 86 91 98,-6.529509,-39.177052,24.085613,0.000000,4
